id,date,timestamp,level,status,method,host,pathname,event_message,headers,regions,log_type,latency,log_count,logs,auth_user
d59ce132-8b74-4814-bdb3-77b5fd68a968,"""2026-07-07T12:48:16.172Z""",2026-07-07T12:48:16.172000,success,200,HEAD,,/rest-admin/v1/ready,HEAD | 200 | https://vwgtfpksdpzxhvhuwlzl.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/3f8ae85,{},[],edge,0,null,[],null
28b80f2c-a5a1-4f7a-8d3a-1815868c8a7f,"""2026-07-07T12:48:16.170Z""",2026-07-07T12:48:16.170000,success,200,GET,,/auth/v1/health,GET | 200 | https://vwgtfpksdpzxhvhuwlzl.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/3f8ae85,{},[],edge,0,null,[],null
f4473489-3e44-4de8-9a9b-76bbde5a7cc8,"""2026-07-07T12:48:15.981Z""",2026-07-07T12:48:15.981000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
581c69fb-1a2c-4a1f-8fd1-e362e3414991,"""2026-07-07T12:48:15.872Z""",2026-07-07T12:48:15.872000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
95a52aac-8359-4c72-b31c-0fa18663ff36,"""2026-07-07T12:48:15.858Z""",2026-07-07T12:48:15.858000,success,00000,,,,connection received: host=2406:da18:96a:8201:ed4f:fac3:befb:b47e port=49520,{},[],postgres,0,null,[],null
395eb2e5-6661-4986-9838-0380ff26686e,"""2026-07-07T12:48:12.877Z""",2026-07-07T12:48:12.877000,success,00000,,,,"connection authorized: user=authenticator database=postgres application_name=PostgREST 14.5 SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",{},[],postgres,0,null,[],null
7e595954-55ad-431f-baf0-04bdae34f056,"""2026-07-07T12:48:12.590Z""",2026-07-07T12:48:12.590000,success,200,GET,,/auth/v1/health,GET | 200 | https://vwgtfpksdpzxhvhuwlzl.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/3f8ae85,{},[],edge,0,null,[],null
61aa096e-8ace-42a7-b937-6fcd8944f1df,"""2026-07-07T12:48:12.567Z""",2026-07-07T12:48:12.567000,success,200,GET,,/rest/v1/,GET | 200 | https://vwgtfpksdpzxhvhuwlzl.supabase.co/rest/v1/ | @supabase-infra/mgmt-api/3f8ae85,{},[],edge,0,null,[],null
4dff6ac5-45d6-4bcd-bc69-77f6a8d8c5c1,"""2026-07-07T12:48:07.158Z""",2026-07-07T12:48:07.158000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
87260d83-090f-4dbe-8c0d-7b4c197f6cab,"""2026-07-07T12:48:06.440Z""",2026-07-07T12:48:06.440000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
dd04f5e8-4520-4ebd-880f-629a9c98db5f,"""2026-07-07T12:48:06.432Z""",2026-07-07T12:48:06.432000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
633ab5b1-bce7-4368-8f2c-96b6bbd4bb27,"""2026-07-07T12:48:06.429Z""",2026-07-07T12:48:06.429000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
70c6bdea-dba0-4e63-8147-d23136b19309,"""2026-07-07T12:48:06.426Z""",2026-07-07T12:48:06.426000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
dfc882b4-efad-47be-8473-377fcc05ac4f,"""2026-07-07T12:48:06.424Z""",2026-07-07T12:48:06.424000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
611ed16d-7bde-4223-a846-df9339cf6173,"""2026-07-07T12:48:06.389Z""",2026-07-07T12:48:06.389000,success,200,POST,,/admin/v1/network-bans/retrieve,POST | 200 | https://vwgtfpksdpzxhvhuwlzl.supabase.co/admin/v1/network-bans/retrieve | @supabase-infra/mgmt-api/3f8ae85,{},[],edge,0,null,[],null
91a729e9-8ee2-41e0-848d-af04e24b38a9,"""2026-07-07T12:48:06.333Z""",2026-07-07T12:48:06.333000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
d4be4732-ce52-4968-935d-cc2f51db25c6,"""2026-07-07T12:48:06.234Z""",2026-07-07T12:48:06.234000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
5a79e2db-672f-4d91-be53-a1be1a3d9b1c,"""2026-07-07T12:48:05.856Z""",2026-07-07T12:48:05.856000,success,00000,,,,"statement: -- pg_trgm indexes for jobs list global search (job number, title, description, schedule address).
-- Apply via Supabase SQL editor or migration pipeline.

CREATE EXTENSION IF NOT EXISTS pg_trgm;

CREATE INDEX IF NOT EXISTS idx_jobs_job_number_trgm
  ON public.jobs USING gin (job_number gin_trgm_ops);

CREATE INDEX IF NOT EXISTS idx_jobs_title_trgm
  ON public.jobs USING gin (title gin_trgm_ops);

CREATE INDEX IF NOT EXISTS idx_jobs_description_trgm
  ON public.jobs USING gin (description gin_trgm_ops);

CREATE INDEX IF NOT EXISTS idx_job_schedule_address_trgm
  ON public.job_schedule USING gin (address gin_trgm_ops);


-- source: dashboard
-- user: session:c8c792c6-f9d0-4b4b-85a1-d6e15e54a5d2
-- date: 2026-07-07T12:48:05.832Z",{},[],postgres,0,null,[],null
e7255a8b-fb5a-445b-a624-ecf70215ecda,"""2026-07-07T12:48:05.853Z""",2026-07-07T12:48:05.853000,success,00000,,,,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba_public.conf:3)",{},[],postgres,0,null,[],null
7a28075e-fa8a-459c-af27-9ed12aa00abc,"""2026-07-07T12:48:05.839Z""",2026-07-07T12:48:05.839000,success,00000,,,,connection received: host=2406:da18:96a:8201:711f:433a:9b2f:6e95 port=49070,{},[],postgres,0,null,[],null
90d30f23-fa6f-4b54-beae-93126f25ecc2,"""2026-07-07T12:47:56.165Z""",2026-07-07T12:47:56.165000,success,200,POST,,/rest/v1/settings,POST | 200 | https://vwgtfpksdpzxhvhuwlzl.supabase.co/rest/v1/settings?on_conflict=id | node,{},[],edge,0,null,[],null
603ad434-4f4a-4248-9248-ee3719859ec2,"""2026-07-07T12:47:55.920Z""",2026-07-07T12:47:55.920000,success,200,GET,,/rest/v1/settings,GET | 200 | https://vwgtfpksdpzxhvhuwlzl.supabase.co/rest/v1/settings?select=value&id=eq.jobStatuses | node,{},[],edge,0,null,[],null
